店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
大阪聘珍樓,050-5484-6660,,大阪府,大阪市北区梅田,"=""1-8-16""",ヒルトンプラザイースト7F,,
大阪 なだ万,050-5492-4900,,大阪府,大阪市北区天満橋,"=""1-8-50""",帝国ホテル大阪24F,,
ホテルグランヴィア大阪なにわ食彩しずく,050-5488-1414,,大阪府,大阪市北区梅田,"=""3-1-1""",ホテルグランヴィア大阪19F,,
地酒蔵 大阪難波店,050-5488-4835,,大阪府,大阪市浪速区難波中,"=""2-8-80""",,,
焼肉 大阪,050-5492-2222,,大阪府,大阪市淀川区十三本町,"=""1-9-6""",,,
大阪王大正店,050-5492-0442,,大阪府,大阪市大正区三軒家東,"=""1-17-17""",,,
大阪王京橋総本店,050-5492-0441,,大阪府,大阪市都島区片町,"=""2-5-6""",ハンエイビル1・2F,,
大阪ばある,050-5486-4729,,大阪府,大阪市淀川区西中島,"=""3-12-12""",サザンウエストビル1F,,
ホテルモントレ グラスミア大阪神戸,050-5486-4485,,大阪府,大阪市浪速区湊町,"=""1-2-3""",ホテルモントレグラスミア大阪22F,,
大阪イギー,050-5487-2559,,大阪府,大阪市淀川区十三東,"=""2-3-10""",,,
大阪王将 新大阪店,050-5488-9222,,大阪府,大阪市淀川区宮原,"=""3-4-30""",ニッセイ新大阪ビル2F,,
バーレスク 大阪,050-5494-7895,,大阪府,大阪市北区曽根崎新地,"=""1-3-8""",ぐらんぱれ壱番館4F,,
大阪モノラル,050-5487-9841,,大阪府,大阪市福島区福島,"=""3-6-15""",1・2F,,
大阪かに源道頓堀店,050-5493-4371,,大阪府,大阪市中央区道頓堀,"=""1-7-21""",中座くいだおれビル2F,,
帝国ホテル大阪ジャスミンガーデン,06-6881-1111,,大阪府,大阪市北区天満橋,"=""1-8-50""",帝国ホテル大阪,,
バトゥール大阪ホテルバリタワー天王寺店,050-5485-7001,,大阪府,大阪市天王寺区悲田院町,"=""8-1""",BALI TOWER2F,,
大阪新阪急ホテルパブ・ラウンジ ビーツ,050-5484-7347,,大阪府,大阪市北区芝田,"=""1-1-35""",大阪新阪急ホテルB2,,
大阪新阪急ホテルグルメバイキング オリンピア,050-5486-2869,,大阪府,大阪市北区芝田,"=""1-1-35""",大阪新阪急ホテルB1,,
大阪焼肉 松屋 新大阪店,050-5489-5207,,大阪府,大阪市淀川区西中島,"=""5-16-1""",,,
大阪新阪急ホテルバー リード,050-5484-2208,,大阪府,大阪市北区芝田,"=""1-1-35""",大阪新阪急ホテルB1,,
臥薪 大阪本店,050-5488-9970,,大阪府,大阪市福島区福島,"=""1-7-1""",,,
神仙閣 大阪店,050-5485-7406,,大阪府,大阪市北区梅田,"=""1-3-1-1200""",大阪駅前第1ビル12F,,
シャンクレール大阪,050-5533-6000,,大阪府,大阪市北区梅田,"=""1-2-2""",大阪駅前第2ビル14F,,
大阪王将 高石店,050-5488-9214,,大阪府,高石市西取石,"=""7-11-28""",,,
大阪王将 萱島店,050-5488-9228,,大阪府,寝屋川市萱島本町,"=""19-4""",,,
大阪食鶏販売堺東店,050-5488-1339,,大阪府,堺市堺区北瓦町,"=""2-2-11""",1F,,
ホテルグランヴィア大阪,050-5492-6979,,大阪府,大阪市北区梅田,"=""3-1-1""",,,
韓国食堂 KOMA 大阪難波,050-5488-8051,,大阪府,大阪市中央区難波,"=""1-8-7""",,,
ホテルグランヴィア大阪フレンチレストラン フルーヴ,050-5494-5386,,大阪府,大阪市北区梅田,"=""3-1-1""",ホテルグランヴィア大阪19F,,
ホテルグランヴィア大阪日本料理　大阪 浮橋,050-5488-1419,,大阪府,大阪市北区梅田,"=""3-1-1""",ホテルグランヴィア大阪19F,,
ホテル アウィーナ 大阪,050-5486-8382,,大阪府,大阪市天王寺区石ケ辻町,"=""19-12""",,,
ごはんや 一芯 大阪,050-5484-0724,,大阪府,大阪市北区梅田,"=""2-4-43""",浪漫倶楽部ビルB1F,,
大阪 桜ノ宮 屋形船「大喜丸」,050-5494-9166,,大阪府,大阪市中央区天満橋京町,"=""1-1""",八軒家浜船着場,,
ラグナヴェール大阪,0120-981-381,,大阪府,大阪市北区堂島浜,"=""1-3-23""",,,
吉野家 大阪京橋店,06-6355-6431,,大阪府,大阪市都島区東野田町,"=""5－2－28""",,,
大阪ぼてぢゅう本店,050-5486-9025,,大阪府,大阪市中央区難波,"=""3-7-20""",,,
ホテル メルパルク大阪レストラン カトレア,050-5486-3038,,大阪府,大阪市淀川区宮原,"=""4-2-1""",ホテル メルパルク大阪B1,,
手打ち蕎麦 大阪 松下,050-5487-2781,,大阪府,大阪市北区鶴野町,"=""4""",コープ野村梅田1F,,
大阪食酒 リエカオ,050-5487-0353,,大阪府,大阪市福島区鷺洲,"=""2-14-23""",,,
リストランテ・ヒロ大阪～ブリーゼブリーゼ～,050-5486-2678,,大阪府,大阪市北区梅田,"=""2-4-9""",ブリーゼブリーゼ5F,,
一蘭 大阪茨木店,072-643-1213,,大阪府,茨木市清水,"=""1－1－3""",,,
大阪 日本料理 河久梅田店,050-5485-5533,,大阪府,大阪市北区梅田,"=""1-1-3300""",大阪駅前第3ビル33F,,
旨い地酒と大阪産（もん）料理空 堀江店  四ツ橋駅前,050-5484-7125,,大阪府,大阪市西区北堀江,"=""1-1-27""",イマイビル1F,,
大阪の味 お好み焼 つる家,050-5494-7963,,大阪府,大阪市北区小松原町,"=""4-6""",,,
旨い地酒と大阪産（もん）料理空 船場女将小路店,050-5485-2021,,大阪府,大阪市中央区船場中央,"=""4-1-10""",船場センタービル10号館B1,,
酒肴 大阪まんぷく堂,050-5487-0449,,大阪府,大阪市東成区大今里西,"=""3-4-14""",,,
吉野家 大阪空港前店,06-6842-3037,,大阪府,豊中市蛍池西町,"=""2－141－6""",,,
北極星 ルクア大阪店,050-5488-9278,,大阪府,大阪市北区梅田,"=""3-1-3""",ルクア大阪B2,,
しゃぶ菜 大阪UCW,050-5489-2633,,大阪府,大阪市此花区島屋,"=""6-2-61""",ユニバーサルシティウォーク5F,,
大阪王将 江口橋店,050-5488-9941,,大阪府,大阪市東淀川区北江口,"=""4-3-18""",,,
