店舗名	電話番号	メールアドレス	都道府県	市区町村	番地	建物名	URL	SSL
ステーキ・鉄板焼き 焼栄（しょうえい）（梅田駅・大阪駅周辺/鉄板焼き）	050-5486-3368	[]	大阪府	大阪市北区梅田	2-4-43	浪漫倶楽部ビル2F	[]	[]
梅田 夜景 グランカフェ 大阪（梅田駅・大阪駅周辺/イタリアン（イタリア料理））	050-5485-9562	[]	大阪府	大阪市北区梅田	2-2-2	ヒルトンプラザウエスト6F	[]	[]
個室居酒屋 炭火と焼き鳥 鶏っく 大阪駅前うめきた店（梅田駅・大阪駅周辺/居酒屋）	050-5485-6567	[]	大阪府	大阪市北区芝田	2-3-9	excel梅田ビル4Ｆ	[]	[]
個室居酒屋 焼き鳥 鶏っく 梅田HEPナビオ店（梅田駅・大阪駅周辺/居酒屋）	050-5485-9385	[]	大阪府	大阪市北区角田町	7-10	HEPナビオ6F	[]	[]
和風居酒屋 庵 梅田（梅田駅・大阪駅周辺/居酒屋）	050-5486-3273	[]	大阪府	大阪市北区芝田	2-3-16	HEPナビオ6F	[]	[]
花様 ka－you 阪急梅田 近江野菜自家栽培ファーム直送店（梅田駅・大阪駅周辺/創作和食）	050-5486-7906	[]	大阪府	大阪市北区芝田	1-7-2	阪急かっぱ横丁2F	[]	[]
和風居酒屋 きんやま（梅田駅・大阪駅周辺/居酒屋）	050-5494-2236	[]	大阪府	大阪市北区梅田	1-2-2	大阪駅前第2ビルB2	[]	[]
地酒寿司居酒屋 龍（梅田駅・大阪駅周辺/居酒屋）	050-5492-3795	[]	大阪府	大阪市北区梅田	1-11-4	大阪駅前第4ビル地下1F	[]	[]
和食居酒屋咲くら 大阪マルビル店（梅田駅・大阪駅周辺/海鮮（海鮮料理））	06-6451-9039	[]	大阪府	大阪市北区梅田	1-9-20	大阪マルビルB2	[]	[]
九州居酒屋よっとこ（梅田駅・大阪駅周辺/居酒屋）	050-5485-7674	[]	大阪府	大阪市北区梅田	1-2-2	大阪駅前第2ビルB2	[]	[]
全席個室居酒屋 ひなた 梅田店（梅田駅・大阪駅周辺/焼肉）	050-5486-2530	[]	大阪府	大阪市北区小松原町	1-10	梅田パルビル7F	[]	[]
梅田個室居酒屋 いろどり 大阪駅前店（梅田駅・大阪駅周辺/居酒屋）	050-5487-6853	[]	大阪府	大阪市北区梅田	2-1-18	富士ビル1F	[]	[]
個室居酒屋 6年4組 梅田分校（梅田駅・大阪駅周辺/居酒屋）	050-5493-2850	[]	大阪府	大阪市北区梅田	1-1-3	大阪駅前第3ビル33F	[]	[]
個室居酒屋 食べ飲み放題 かじにちょう 梅田HEPナビオ店（梅田駅・大阪駅周辺/居酒屋）	050-5494-5868	[]	大阪府	大阪市北区角田町	7-10	HEPナビオ6F	[]	[]
海鮮居酒屋 梅田産直市場 大阪駅前第3ビル店（梅田駅・大阪駅周辺/魚料理）	06-6347-3939	[]	大阪府	大阪市北区梅田	1-1-3	大阪駅前第3ビルB1	[]	[]
うにくと肉寿司 夜景個室居酒屋 そざい庵 梅田・大阪駅店（梅田駅・大阪駅周辺/居酒屋）	050-5486-5808	[]	大阪府	大阪市北区小松原町	1-10	梅田パルビル9F	[]	[]
