店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
エビン 神奈川駅前店,050-5492-7921,[],神奈川県,横浜市,神奈川区青木町2-1,シーアイマンション神奈川1F,[],[]
神奈川厳選銘酒×バー×焼肉 かまくら藤家,050-5493-7540,[],神奈川県,鎌倉市,小町1-4-4,清和ビル2F,[],[]
大連食府 神奈川新町店,045-453-2688,[],神奈川県,横浜市,神奈川区浦島町5-4-44,,[],[]
BBQ太郎 神奈川湘南店,050-5494-5528,[],神奈川県,茅ヶ崎市,今宿263-5,ガレリアタウン湘南茅ヶ崎,[],[]
ヒマール キッチン 神奈川新町店,050-5492-6803,[],神奈川県,横浜市,神奈川区浦島町1-5,,[],[]
とんかつせんのき 東神奈川本店,050-5494-9089,[],神奈川県,横浜市,神奈川区西神奈川1-10-16,,[],[]
横浜家系ラーメン 壱角家 東神奈川店,050-5494-8203,[],神奈川県,横浜市,神奈川区西神奈川1-8-1,,[],[]
サイゼリヤ イオンスタイル東神奈川店,045-433-3131,[],神奈川県,横浜市,神奈川区富家町1,イオンスタイル東神奈川1F,[],[]
横濱 ROCKET ヨコハマロケット 東神奈川,045-624-8338,[],神奈川県,横浜市,神奈川区平川町3-1,,[],[]
横浜マルニカフェダイニング,050-5494-7901,[],神奈川県,横浜市,神奈川区二ツ谷町6-3,ぬのや1F,[],[]
餃子の王将 東神奈川駅西口店,045-323-2708,[],神奈川県,横浜市,神奈川区東神奈川1-29-42,,[],[]
VENT VELA,050-5488-0357,[],神奈川県,横浜市,中区山下町281,KAAT神奈川芸術劇場,[],[]
魚民 神奈川新町中央口駅前店,045-440-0988,[],神奈川県,横浜市,神奈川区新町12-1,新町第2京急ビル3F,[],[]
串焼きとおでん 飯造,050-5486-5955,[],東京都,町,田市原田4-6-4,,[],[]
関内フレンチ Bistro Deux Ciel 【ビストロ・ドゥシェル】,050-5488-5229,[],神奈川県,横浜市,中区太田町1-17-2,川島ビル1F,[],[]
松屋 東神奈川店,045-430-5177,[],神奈川県,横浜市,神奈川区西神奈川1-20-4,加賀ビル,[],[]
レストラン ラ・ベランダ アパホテル＆リゾート横浜ベイタワー,050-5485-0458,[],神奈川県,横浜市,中区海岸通5-25-3,アパホテル＆リゾート〈横浜ベイタワー〉3F,[],[]
日本酒バル UMAMI（ウマミ）横浜,050-5485-9171,[],神奈川県,横浜市,神奈川区鶴屋町2-9-22,日興パレス横浜1F,[],[]
焼き鳥 割烹 ＪＩＮ,046-240-1977,[],神奈川県,大和市,大和東3-1-18,武井ビル2F,[],[]
横浜 料亭 田中家,050-5484-5211,[],神奈川県,横浜市,神奈川区台町11-1,,[],[]
山手ローズテラス,050-5484-1358,[],神奈川県,横浜市,中区山手町115,港の見える丘公園,[],[]
牛タン×串焼き 横須賀ハイボール,050-5487-5895,[],神奈川県,横須賀市,大滝町2-10,藤掛ビル1F,[],[]
レストラン アルエット レンブラントホテル海老名,050-5487-6346,[],神奈川県,海老名市,中央2-9-50,,[],[]
まつばら,050-5493-2545,[],神奈川県,三浦市,南下浦町上宮田3253,,[],[]
金時 2号店,050-5487-8306,[],神奈川県,小田原市,栄町2-11-11,,[],[]
イタリア料理 ヴェルデ,050-5494-8432,[],神奈川県,横浜市,神奈川区広台太田町2-4,,[],[]
愛嬌酒場えにし 吉田町店,050-5493-8696,[],神奈川県,横浜市,中区吉田町64-3,吉田町ビル1F・2F,[],[]
横浜ビール 驛の食卓～UMAYA～桜木町,050-5485-5182,[],神奈川県,横浜市,中区住吉町6-68-1,横浜関内地所ビル1・2F,[],[]
元湯陣屋,050-5486-8576,[],神奈川県,秦野市,鶴巻北2-8-24,,[],[]
イタリアンダイニング＆バル オイノス～Oinos～,050-5486-0458,[],神奈川県,横浜市,中区石川町1-21,,[],[]
イタリアンダイニング 金色の午後,050-5484-5500,[],神奈川県,横浜市,鶴見区鶴見中央1-9-8,鶴見ワンダーランド1F,[],[]
情熱生産者＆上大岡民 ＆家,050-5489-0618,[],神奈川県,横浜市,港南区上大岡西1-19-1,千草ビル501,[],[]
肉とクラフトビールの店 アポロカンパニー 野毛桜木町,050-5486-5034,[],神奈川県,横浜市,中区花咲町1-9,,[],[]
やんちゃ家 横須賀中央店,050-5487-4116,[],神奈川県,横須賀市,若松町1-12,,[],[]
babel bayside kitchen,050-5484-2731,[],神奈川県,横浜市,神奈川区金港町1-10,横浜ベイクオーター2F,[],[]
鮮魚と本格炭火焼鳥 居酒屋まる八 平塚,0463-21-7775,[],神奈川県,平塚市,紅谷町14-18,1F,[],[]
海畑 marche 太陽,050-5484-9595,[],神奈川県,逗子市,逗子2-6-31,魚佐次ビル5F,[],[]
山手ローズテラス 港の見えるBBQビアガーデン,045-621-9684,[],神奈川県,横浜市,中区山手町115,港の見える丘公園ガーデンテラス1F,[],[]
相武台前南口 イタリアン Osteria GiGi,050-5484-2437,[],神奈川県,座間市,相武台3-42-50,,[],[]
IZAKAYA＆BAR よーいち流 センター南,050-5487-2797,[],神奈川県,横浜市,都筑区茅ヶ崎中央42-24,1F,[],[]
宴会個室×炭火焼鳥 炭火工房 あさば 川崎西口店,050-5486-7433,[],神奈川県,川崎市,幸区南幸町2-18-10,,[],[]
地酒・地魚 三代目 ハルク 野毛,050-5488-2255,[],神奈川県,横浜市,中区宮川町2-56,,[],[]
クラフトビールと肉ビストロ HITSUJI（ヒツジ）,050-5485-2425,[],神奈川県,横浜市,中区野毛町1-24-5,,[],[]
もつ鍋・焼鳥 山屋キッチン,050-5485-0665,[],神奈川県,横浜市,中区伊勢佐木町7-151-10,YSビル1F,[],[]
パーティールーム アルジェ,050-5484-8089,[],神奈川県,横浜市,神奈川区西神奈川3-7-1,池田ビル2F,[],[]
Ginger’s beach,050-5485-2465,[],神奈川県,横浜市,神奈川区金港町3-1,コンカード横浜1F,[],[]
A16 YOKOHAMA,050-5493-3468,[],神奈川県,横浜市,中区新港1-3-1,MARINE＆WALK YOKOHAMA 2F,[],[]
一軒家フレンチ ビストロオランジュ 鎌倉,050-5486-3184,[],神奈川県,鎌倉市,御成町2-13,,[],[]
福隆酒家,050-5486-8337,[],神奈川県,横浜市,神奈川区西神奈川1-10-16,,[],[]
トラットリア アクイロット 日吉,050-5487-9833,[],神奈川県,横浜市,港北区日吉本町1-4-14,,[],[]
